Datetime EST HB,Datetime EST HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable,20,"Bid Amount
","TAIT
MW Out Unplanned",Mango Readable,Mango Readable,Mango Readable,Mango Readable,"TAIT
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"
hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","
Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
2/2/2015 13:00:00,2/2/2015 14:00:00,2/2/2015 18:00:00,2/2/2015,18,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,-1.0000,-27.85,761.9732041,,928.76,82.04%,,72.7774785,,,34.27,6.88,1.76859,0.965202
2/2/2015 14:00:00,2/2/2015 15:00:00,2/2/2015 19:00:00,2/2/2015,19,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,-1.0000,-29.91,581.309173,,717.25,81.05%,,78.98968416,,,23.63,4.33,2.825096,0.953489
2/2/2015 15:00:00,2/2/2015 16:00:00,2/2/2015 20:00:00,2/2/2015,20,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,0.0000,0,445.2209227,,548.59,81.16%,,59.1101294,,,17.01,3.64,2.862476,0.954795
2/2/2015 16:00:00,2/2/2015 17:00:00,2/2/2015 21:00:00,2/2/2015,21,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,-2.0000,-58.14,451.6029448,,560.63,80.55%,,52.16596552,,,18.68,4.08,2.292002,0.947684
2/2/2015 17:00:00,2/2/2015 18:00:00,2/2/2015 22:00:00,2/2/2015,22,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,1.0000,33.41,1735.272192,,"2,153.80",80.57%,,345.70281054,,,104.31,1.03,3.281781,0.947856
2/2/2015 18:00:00,2/2/2015 19:00:00,2/2/2015 23:00:00,2/2/2015,23,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,-1.0000,-55.86,2276.543487,,"2,953.94",77.07%,,411.8814,,,144.3,1.2,2.8308,0.906683
2/2/2015 19:00:00,2/2/2015 20:00:00,2/3/2015 0:00:00,2/3/2015,0,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,-1.0000,-50.69,1137.015283,,"1,448.79",78.48%,,138.5271,,,69.99,1.26,1.94424,0.923295
2/2/2015 20:00:00,2/2/2015 21:00:00,2/3/2015 1:00:00,2/3/2015,1,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,-2.0000,-65.3,1602.844601,,"2,052.18",78.10%,,179.4977226,,,96.5,3.4,1.796774,0.918876
2/2/2015 21:00:00,2/2/2015 22:00:00,2/3/2015 2:00:00,2/3/2015,2,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,0.0000,0,1238.199884,,"1,678.32",73.78%,,157.01336375,,,48.66,14.09,2.502205,0.867954
2/2/2015 22:00:00,2/2/2015 23:00:00,2/3/2015 3:00:00,2/3/2015,3,TAITsched:17000,17,17,3,,,,,,M05E10-INV1 ; M02E20 INV1 & 2,17,-1.0000,-28.37,538.8937067,,658.48,81.84%,,63.3859602,,,22.17,4.53,2.374006,0.962805
2/2/2015 23:00:00,2/3/2015 0:00:00,2/3/2015 4:00:00,2/3/2015,4,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-26.92,658.7674055,,806.24,81.71%,,67.02666993,,,20.46,8.61,2.305699,0.961276
2/3/2015 0:00:00,2/3/2015 1:00:00,2/3/2015 5:00:00,2/3/2015,5,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,330.6772626,,404.08,81.84%,,29.2024369,,,11.82,4.76,1.761305,0.962769
