Datetime EST HB,Datetime EST HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable,Mango Readable,Mango Readable,Mango Readable,Mango Readable,"MW
Online",Bid Amount,"Laurel Mountain
MW Out Unplanned","Laurel Mountain
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
1/2/2015 17:00:00,1/2/2015 18:00:00,1/2/2015 22:00:00,1/2/2015,22,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,56.05398304,,59.84,93.67%,,4.7090901,,,1.87,0,2.51823,0.936731
1/2/2015 18:00:00,1/2/2015 19:00:00,1/2/2015 23:00:00,1/2/2015,23,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-55.84,181.5002664,,194.96,93.10%,,13.55835915,,,3.18,0.87,3.347743,0.930956
1/2/2015 19:00:00,1/2/2015 20:00:00,1/3/2015 0:00:00,1/3/2015,0,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,21.23895872,,23.36,90.92%,,1.87883896,,,0.73,0,2.573752,0.909202
1/2/2015 20:00:00,1/2/2015 21:00:00,1/3/2015 1:00:00,1/3/2015,1,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-27.26,295.940047,,313.23,94.48%,,20.95106202,,,9.55,0.11,2.168847,0.944788
1/2/2015 21:00:00,1/2/2015 22:00:00,1/3/2015 2:00:00,1/3/2015,2,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-27,476.9905086,,503.15,94.80%,,23.9883787,,,7.13,3.98,2.15917,0.948005
1/2/2015 22:00:00,1/2/2015 23:00:00,1/3/2015 3:00:00,1/3/2015,3,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-52.18,748.0971785,,781.09,95.78%,,40.00724058,,,13.8,4.98,2.130311,0.957765
1/2/2015 23:00:00,1/3/2015 0:00:00,1/3/2015 4:00:00,1/3/2015,4,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-24.31,954.8724364,,"1,007.65",94.76%,,64.58458635,,,20.97,4.08,2.578227,0.94762
1/3/2015 0:00:00,1/3/2015 1:00:00,1/3/2015 5:00:00,1/3/2015,5,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,115.0429459,,123.52,93.14%,,7.69754252,,,3.86,0,1.994182,0.931371
1/3/2015 1:00:00,1/3/2015 2:00:00,1/3/2015 6:00:00,1/3/2015,6,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-3,-77.31,53.25787008,,55.36,96.20%,,2.75005471,,,1.73,0,1.589627,0.962028
1/3/2015 2:00:00,1/3/2015 3:00:00,1/3/2015 7:00:00,1/3/2015,7,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,1,24.09,34.28063584,,38.72,88.53%,,4.80955156,,,1.21,0,3.974836,0.885347
1/3/2015 3:00:00,1/3/2015 4:00:00,1/3/2015 8:00:00,1/3/2015,8,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-48.36,75.58413056,,79.36,95.24%,,3.69790816,,,2.48,0,1.491092,0.952421
1/3/2015 4:00:00,1/3/2015 5:00:00,1/3/2015 9:00:00,1/3/2015,9,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,87.3034176,,94.08,92.80%,,4.57214982,,,2.94,0,1.555153,0.92797
1/3/2015 5:00:00,1/3/2015 6:00:00,1/3/2015 10:00:00,1/3/2015,10,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-49.34,574.0395932,,631.73,90.87%,,31.30905151,,,10.41,4.42,2.111197,0.908682
1/3/2015 6:00:00,1/3/2015 7:00:00,1/3/2015 11:00:00,1/3/2015,11,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-49.52,919.1567447,,962.55,95.49%,,41.62803279,,,10.96,9.31,2.053677,0.954917
1/3/2015 7:00:00,1/3/2015 8:00:00,1/3/2015 12:00:00,1/3/2015,12,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-25.12,983.5051865,,"1,024.47",96.00%,,47.18790678,,,8.09,8.32,2.875558,0.960015
