,Datetime EST HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable,20,"Bid Amount
","TAIT
MW Out Unplanned",Mango Readable,Mango Readable,Mango Readable,Mango Readable,"TAIT
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"
hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","
Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
4/1/2014 19:00:00,4/1/2014 20:00:00,4/2/2014 0:00:00,4/2/2014,0,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-4.0000,-402.44,3126.975396,,3385.5529252,0.923623250053099,,624.54397826,,,162,1.91,3.810286,0.972235
4/1/2014 20:00:00,4/1/2014 21:00:00,4/2/2014 1:00:00,4/2/2014,1,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,0.0000,0,4287.146588,,4887.7548858,0.877119800024158,,906.92124204,,,212.75,7.69,4.114141,0.923284
4/1/2014 21:00:00,4/1/2014 22:00:00,4/2/2014 2:00:00,4/2/2014,2,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-2.0000,-80.36,967.8938561,,1047.2603792,0.924215100011109,,153.56039888,,,39.13,3.69,3.586184,0.972858
4/1/2014 22:00:00,4/1/2014 23:00:00,4/2/2014 3:00:00,4/2/2014,3,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,0.0000,0,685.874507,,741.2919754,0.925242050043646,,89.02775738,,,28.23,3.11,2.840707,0.973939
4/1/2014 23:00:00,4/2/2014 0:00:00,4/2/2014 4:00:00,4/2/2014,4,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,0.0000,0,651.1491269,,763.417763,0.852939450008579,,101.79091813,,,17.94,4.45,4.546267,0.897831
4/2/2014 0:00:00,4/2/2014 1:00:00,4/2/2014 5:00:00,4/2/2014,5,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,0.0000,0,136.9076394,,151.6337312,0.902883799775548,,14.1336952,,,4.56,1.24,2.436844,0.950404
4/2/2014 1:00:00,4/2/2014 2:00:00,4/2/2014 6:00:00,4/2/2014,6,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-27.74,85.87350193,,93.0848,0.922529800031799,,6.71401984,,,2.27,1.25,1.907392,0.971084
4/2/2014 2:00:00,4/2/2014 3:00:00,4/2/2014 7:00:00,4/2/2014,7,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-26.85,152.8714071,,166.47969,0.918258600193213,,13.52924901,,,5.37,1.5,1.969323,0.966588
4/2/2014 3:00:00,4/2/2014 4:00:00,4/2/2014 8:00:00,4/2/2014,8,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-2.0000,-55.12,73.12332475,,86.513883,0.845220700011812,,5.76350544,,,2.01,1.35,1.715329,0.889706
4/2/2014 4:00:00,4/2/2014 5:00:00,4/2/2014 9:00:00,4/2/2014,9,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-31.05,170.0428147,,199.2947968,0.853222549862376,,19.0947974,,,7.02,1.28,2.300578,0.898129
4/2/2014 5:00:00,4/2/2014 6:00:00,4/2/2014 10:00:00,4/2/2014,10,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-32.21,684.4724696,,816.7302064,0.838064350058793,,71.92277714,,,21.21,7.96,2.465642,0.882173
4/2/2014 6:00:00,4/2/2014 7:00:00,4/2/2014 11:00:00,4/2/2014,11,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,0.0000,0,270.6666166,,337.5293392,0.801905449883333,,36.81025672,,,13.88,1.23,2.436152,0.844111
4/2/2014 7:00:00,4/2/2014 8:00:00,4/2/2014 12:00:00,4/2/2014,12,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-43.31,416.1719446,,545.0553872,0.763540649947364,,78.76853728,,,23.34,1.22,3.207188,0.803727
4/2/2014 8:00:00,4/2/2014 9:00:00,4/2/2014 13:00:00,4/2/2014,13,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,1.0000,80.76,1305.390243,,1581.2334064,0.825551900001902,,197.12125598,,,74.19,1.88,2.591314,0.869002
4/2/2014 9:00:00,4/2/2014 10:00:00,4/2/2014 14:00:00,4/2/2014,14,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-2.0000,-160.66,1527.479592,,2213.1467624,0.690184500165528,,315.89497288,,,106.23,1.51,2.932012,0.72651
4/2/2014 10:00:00,4/2/2014 11:00:00,4/2/2014 15:00:00,4/2/2014,15,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-47.81,535.4628193,,585.2337612,0.914955449942008,,68.06843802,,,24.42,1.87,2.589138,0.963111
4/2/2014 11:00:00,4/2/2014 12:00:00,4/2/2014 16:00:00,4/2/2014,16,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,0.0000,0,430.5830913,,465.8067704,0.924381350082669,,52.26015186,,,18.46,1.88,2.569329,0.973033
4/2/2014 12:00:00,4/2/2014 13:00:00,4/2/2014 17:00:00,4/2/2014,17,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-43.4,926.6967943,,1000.4433774,0.926286099977336,,123.8311068,,,40.11,3.49,2.840163,0.975038
4/2/2014 13:00:00,4/2/2014 14:00:00,4/2/2014 18:00:00,4/2/2014,18,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-43.13,929.5733741,,1020.2021104,0.911165899995574,,139.57275215,,,40.57,3.28,3.182959,0.959122
4/2/2014 14:00:00,4/2/2014 15:00:00,4/2/2014 19:00:00,4/2/2014,19,TAITsched:18000,18,18,1,TAITbid:18000,TAITUnscheduled:1000,TAITPlanned:1000,TAITSettled:18000,1,work on 1E10-INV1,18,0.0000,0,745.6361345,,862.9679294,0.864036899978916,,111.9214831,,,30.39,3.91,3.263017,0.960041
4/2/2014 15:00:00,4/2/2014 16:00:00,4/2/2014 20:00:00,4/2/2014,20,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-34.27,555.9654672,,616.5194872,0.901780849985759,,78.11125944,,,27.83,1.11,2.699076,0.949243
4/2/2014 16:00:00,4/2/2014 17:00:00,4/2/2014 21:00:00,4/2/2014,21,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-34.55,581.0067823,,629.862816,0.922433849944874,,81.6904264,,,27.85,1.3,2.802416,0.970983
4/2/2014 17:00:00,4/2/2014 18:00:00,4/2/2014 22:00:00,4/2/2014,22,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-2.0000,-69.78,526.6529571,,569.1892372,0.925268650002506,,71.76062394,,,25.52,1.09,2.696754,0.973967
4/2/2014 18:00:00,4/2/2014 19:00:00,4/2/2014 23:00:00,4/2/2014,23,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,0.0000,0,611.8340438,,658.491704,0.929144649937761,,103.713378,,,23.32,2.38,4.03554,0.978047
4/2/2014 19:00:00,4/2/2014 20:00:00,4/3/2014 0:00:00,4/3/2014,0,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-4.0000,-152.12,553.2311915,,642.3463402,0.861266199987606,,112.79150729,,,27.96,1.07,3.885343,0.906596
4/2/2014 20:00:00,4/2/2014 21:00:00,4/3/2014 1:00:00,4/3/2014,1,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,0.0000,0,2177.715976,,2388.86671,0.9116105000266,,405.12484718,,,113.28,1.75,3.521906,0.95959
4/2/2014 21:00:00,4/2/2014 22:00:00,4/3/2014 2:00:00,4/3/2014,2,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-37.23,337.1547625,,430.119995,0.783862099923999,,61.3506929,,,16.99,1.35,3.345185,0.825118
4/2/2014 22:00:00,4/2/2014 23:00:00,4/3/2014 3:00:00,4/3/2014,3,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-34.34,571.6100465,,725.5270104,0.787854949996772,,87.48526926,,,25.17,3.66,3.034522,0.829321
4/2/2014 23:00:00,4/3/2014 0:00:00,4/3/2014 4:00:00,4/3/2014,4,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-29.83,342.1768279,,432.6705698,0.790848400107661,,54.54886705,,,18.24,1.21,2.804569,0.832472
4/3/2014 0:00:00,4/3/2014 1:00:00,4/3/2014 5:00:00,4/3/2014,5,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-25.41,134.2572932,,177.1086168,0.758050599828297,,15.97108963,,,6.19,1.24,2.149541,0.797948
4/3/2014 1:00:00,4/3/2014 2:00:00,4/3/2014 6:00:00,4/3/2014,6,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-29.06,110.6902384,,167.2856226,0.661684110562649,,13.48419726,,,4.7,1.19,1.827127,0.847478
4/3/2014 2:00:00,4/3/2014 3:00:00,4/3/2014 7:00:00,4/3/2014,7,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-28.34,92.50739473,,151.730806,0.6096810342522,,11.2610708,,,3.08,1.62,1.781815,0.816019
4/3/2014 3:00:00,4/3/2014 4:00:00,4/3/2014 8:00:00,4/3/2014,8,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,0.0000,0,78.47440666,,107.4625882,0.730248619305076,,7.23217737,,,2.69,1.43,1.603587,0.828843
4/3/2014 4:00:00,4/3/2014 5:00:00,4/3/2014 9:00:00,4/3/2014,9,TAITsched:19000,19,19,1,TAITbid:19000,TAITUnscheduled:1000,TAITPlanned:0,TAITSettled:19000,0,1E10-INV1 capacitor,19,-1.0000,-28.69,87.34588743,,106.80804,0.81778382441996,,7.854476,,,3.08,1.37,1.9346,0.802239
